,Date,Home,Away,Bet
176,2012-02-12,Arsenal Sarandi,Boca Juniors,0.0
177,2012-03-12,Newells Old Boys,Atl. Rafaela,1.6
178,2012-03-12,Estudiantes L.P.,San Martin S.J.,1.87
179,2012-07-12,All Boys,Arsenal Sarandi,0.0
180,2012-08-12,Union de Santa Fe,Racing Club,0.0
181,2012-08-12,Argentinos Jrs,Newells Old Boys,0.0
182,2012-08-12,Boca Juniors,Godoy Cruz,1.65
183,2012-08-12,Atl. Rafaela,Velez Sarsfield,2.06
184,2012-08-12,Belgrano,Estudiantes L.P.,0.0
185,2012-09-12,Lanus,San Lorenzo,0.0
186,2012-09-12,Independiente,Colon Santa FE,3.04
187,2012-09-12,San Martin S.J.,River Plate,0.0
188,2013-03-02,Independiente,Tigre,0.0
189,2013-08-02,Union de Santa Fe,Arsenal Sarandi,2.98
190,2013-09-02,Argentinos Jrs,Velez Sarsfield,1.98
191,2013-09-02,All Boys,Godoy Cruz,3.03
192,2013-09-02,Estudiantes L.P.,Tigre,0.0
193,2013-09-02,Boca Juniors,Quilmes,1.65
194,2013-10-02,San Martin S.J.,San Lorenzo,2.96
195,2013-10-02,Atl. Rafaela,Racing Club,0.0
196,2013-10-02,Independiente,Newells Old Boys,0.0
197,2013-10-02,Belgrano,River Plate,0.0
198,2013-11-02,Lanus,Colon Santa FE,1.99
199,2013-02-13,Quilmes,Tigre,3.07
200,2013-02-16,Racing Club,Argentinos Jrs,1.78
201,2013-02-16,Godoy Cruz,Union de Santa Fe,1.84
202,2013-02-16,San Lorenzo,Belgrano,0.0
203,2013-02-16,Colon Santa FE,San Martin S.J.,0.0
204,2013-02-16,Velez Sarsfield,Independiente,0.0
205,2013-02-17,Tigre,Boca Juniors,3.1
206,2013-02-17,Quilmes,All Boys,0.0
207,2013-02-17,Newells Old Boys,Lanus,0.0
208,2013-02-17,River Plate,Estudiantes L.P.,1.91
209,2013-02-18,Arsenal Sarandi,Atl. Rafaela,0.0
210,2013-02-22,Argentinos Jrs,Arsenal Sarandi,0.0
211,2013-02-23,Estudiantes L.P.,San Lorenzo,2.98
212,2013-02-23,Union de Santa Fe,Quilmes,0.0
213,2013-02-23,All Boys,Boca Juniors,0.0
214,2013-02-23,Lanus,Velez Sarsfield,1.95
215,2013-02-24,Atl. Rafaela,Godoy Cruz,0.0
