,Date,Home,Away
1106,2015-02-05,Gimnasia L.P.,Newells Old Boys
1107,2015-02-05,San Lorenzo,Velez Sarsfield
1108,2015-02-05,Argentinos Jrs,Aldosivi
1109,2015-03-05,Racing Club,Lanus
1110,2015-03-05,Rosario Central,Huracan
1111,2015-03-05,Atl. Rafaela,Defensa y Justicia
1112,2015-03-05,Banfield,Independiente
1113,2015-03-05,Tigre,Nueva Chicago
1114,2015-03-05,Boca Juniors,River Plate
1115,2015-04-05,Union de Santa Fe,Belgrano
1116,2015-04-05,Arsenal Sarandi,Quilmes
1117,2015-05-05,Crucero del Norte,Colon Santa FE
1118,2015-05-05,Temperley,San Martin S.J.
1119,2015-08-05,Nueva Chicago,Rosario Central
1120,2015-09-05,Lanus,Tigre
1121,2015-09-05,Estudiantes L.P.,Temperley
1122,2015-09-05,Quilmes,Godoy Cruz
1123,2015-09-05,Huracan,Olimpo Bahia Blanca
1124,2015-09-05,Union de Santa Fe,Crucero del Norte
1125,2015-10-05,Newells Old Boys,San Lorenzo
1126,2015-10-05,Velez Sarsfield,Argentinos Jrs
1127,2015-10-05,Aldosivi,Banfield
1128,2015-10-05,Belgrano,Arsenal Sarandi
1129,2015-10-05,River Plate,Racing Club
1130,2015-11-05,San Martin S.J.,Atl. Rafaela
1131,2015-11-05,Independiente,Boca Juniors
1132,2015-11-05,Sarmiento Junin,Gimnasia L.P.
1133,2015-12-05,Defensa y Justicia,Colon Santa FE
1134,2015-05-22,Gimnasia L.P.,Quilmes
1135,2015-05-23,Crucero del Norte,Defensa y Justicia
1136,2015-05-23,Temperley,Huracan
1137,2015-05-23,Arsenal Sarandi,Union de Santa Fe
1138,2015-05-23,Rosario Central,Lanus
1139,2015-05-23,Colon Santa FE,San Martin S.J.
1140,2015-05-23,Banfield,Velez Sarsfield
1141,2015-05-23,Olimpo Bahia Blanca,Nueva Chicago
1142,2015-05-24,San Lorenzo,Sarmiento Junin
1143,2015-05-24,Atl. Rafaela,Estudiantes L.P.
1144,2015-05-24,Racing Club,Independiente
1145,2015-05-24,Argentinos Jrs,Newells Old Boys
1146,2015-05-24,Boca Juniors,Aldosivi
1147,2015-05-24,Godoy Cruz,Belgrano
1148,2015-05-30,Quilmes,San Lorenzo
1149,2015-05-30,Nueva Chicago,Temperley
1150,2015-05-30,Sarmiento Junin,Argentinos Jrs
1151,2015-05-30,Belgrano,Gimnasia L.P.
1152,2015-05-31,Independiente,Tigre
1153,2015-05-31,Newells Old Boys,Banfield
1154,2015-05-31,Union de Santa Fe,Godoy Cruz
1155,2015-05-31,Aldosivi,Racing Club
1156,2015-05-31,San Martin S.J.,Defensa y Justicia
1157,2015-05-31,River Plate,Rosario Central
1158,2015-05-31,Estudiantes L.P.,Colon Santa FE
1159,2015-01-06,Velez Sarsfield,Boca Juniors
1160,2015-01-06,Arsenal Sarandi,Crucero del Norte
1161,2015-02-06,Huracan,Atl. Rafaela
1162,2015-02-06,Lanus,Olimpo Bahia Blanca
1163,2015-05-06,Gimnasia L.P.,Union de Santa Fe
1164,2015-06-06,Banfield,Sarmiento Junin
1165,2015-06-06,Argentinos Jrs,Quilmes
1166,2015-06-06,Colon Santa FE,Huracan
1167,2015-06-06,Temperley,Lanus
1168,2015-06-06,San Lorenzo,Belgrano
1169,2015-07-06,Crucero del Norte,San Martin S.J.
1170,2015-07-06,Rosario Central,Independiente
1171,2015-07-06,Atl. Rafaela,Nueva Chicago
1172,2015-07-06,Racing Club,Velez Sarsfield
1173,2015-07-06,Boca Juniors,Newells Old Boys
1174,2015-08-06,Godoy Cruz,Arsenal Sarandi
1175,2015-08-06,Olimpo Bahia Blanca,River Plate
1176,2015-08-06,Tigre,Aldosivi
1177,2015-09-06,Defensa y Justicia,Estudiantes L.P.
1178,2015-09-07,Tigre,River Plate
1179,2015-10-07,Arsenal Sarandi,Gimnasia L.P.
1180,2015-11-07,Estudiantes L.P.,San Martin S.J.
1181,2015-11-07,Belgrano,Argentinos Jrs
1182,2015-11-07,River Plate,Temperley
1183,2015-11-07,Quilmes,Banfield
1184,2015-11-07,Union de Santa Fe,San Lorenzo
1185,2015-12-07,Huracan,Defensa y Justicia
1186,2015-12-07,Lanus,Atl. Rafaela
1187,2015-12-07,Nueva Chicago,Colon Santa FE
1188,2015-12-07,Independiente,Olimpo Bahia Blanca
1189,2015-12-07,Newells Old Boys,Racing Club
1190,2015-12-07,Godoy Cruz,Crucero del Norte
1191,2015-07-13,Sarmiento Junin,Boca Juniors
1192,2015-07-13,Aldosivi,Rosario Central
1193,2015-07-14,Velez Sarsfield,Tigre
1194,2015-07-17,San Lorenzo,Arsenal Sarandi
1195,2015-07-18,Banfield,Belgrano
1196,2015-07-18,Olimpo Bahia Blanca,Aldosivi
1197,2015-07-18,Boca Juniors,Quilmes
1198,2015-07-18,Defensa y Justicia,Nueva Chicago
1199,2015-07-18,Atl. Rafaela,River Plate
1200,2015-07-19,Racing Club,Sarmiento Junin
1201,2015-07-19,Colon Santa FE,Lanus
1202,2015-07-19,San Martin S.J.,Huracan
1203,2015-07-19,Tigre,Newells Old Boys
1204,2015-07-19,Rosario Central,Velez Sarsfield
1205,2015-07-20,Temperley,Independiente
1206,2015-07-20,Gimnasia L.P.,Godoy Cruz
1207,2015-07-21,Crucero del Norte,Estudiantes L.P.
1208,2015-07-21,Argentinos Jrs,Union de Santa Fe
1209,2015-07-25,Aldosivi,Temperley
1210,2015-07-25,Gimnasia L.P.,Crucero del Norte
1211,2015-07-25,Sarmiento Junin,Tigre
1212,2015-07-25,River Plate,Colon Santa FE
1213,2015-07-25,Union de Santa Fe,Banfield
1214,2015-07-26,Independiente,Atl. Rafaela
1215,2015-07-26,Velez Sarsfield,Olimpo Bahia Blanca
1216,2015-07-26,Godoy Cruz,San Lorenzo
1217,2015-07-26,Newells Old Boys,Rosario Central
1218,2015-07-26,Quilmes,Racing Club
1219,2015-07-26,Huracan,Estudiantes L.P.
1220,2015-07-26,Lanus,Defensa y Justicia
1221,2015-07-27,Belgrano,Boca Juniors
1222,2015-07-27,Nueva Chicago,San Martin S.J.
1223,2015-07-27,Arsenal Sarandi,Argentinos Jrs
1224,2015-07-31,Atl. Rafaela,Aldosivi
1225,2015-01-08,Temperley,Velez Sarsfield
1226,2015-01-08,Argentinos Jrs,Godoy Cruz
1227,2015-01-08,Estudiantes L.P.,Nueva Chicago
1228,2015-01-08,San Lorenzo,Gimnasia L.P.
1229,2015-02-08,Colon Santa FE,Independiente
1230,2015-02-08,Rosario Central,Sarmiento Junin
1231,2015-02-08,Olimpo Bahia Blanca,Newells Old Boys
1232,2015-02-08,Racing Club,Belgrano
1233,2015-02-08,Crucero del Norte,Huracan
1234,2015-02-08,Boca Juniors,Union de Santa Fe
1235,2015-03-08,Tigre,Quilmes
1236,2015-04-08,Banfield,Arsenal Sarandi
1237,2015-12-08,San Martin S.J.,Lanus
1238,2015-08-14,Sarmiento Junin,Olimpo Bahia Blanca
1239,2015-08-15,Belgrano,Tigre
1240,2015-08-15,Independiente,Defensa y Justicia
1241,2015-08-15,Nueva Chicago,Huracan
1242,2015-08-15,Godoy Cruz,Banfield
1243,2015-08-15,Aldosivi,Colon Santa FE
1244,2015-08-15,Union de Santa Fe,Racing Club
1245,2015-08-16,Lanus,Estudiantes L.P.
1246,2015-08-16,Gimnasia L.P.,Argentinos Jrs
1247,2015-08-16,San Lorenzo,Crucero del Norte
1248,2015-08-16,Velez Sarsfield,Atl. Rafaela
1249,2015-08-16,Newells Old Boys,Temperley
1250,2015-08-17,Arsenal Sarandi,Boca Juniors
1251,2015-08-17,River Plate,San Martin S.J.
1252,2015-08-18,Quilmes,Rosario Central
1253,2015-08-22,Atl. Rafaela,Newells Old Boys
1254,2015-08-22,Banfield,Gimnasia L.P.
1255,2015-08-22,Olimpo Bahia Blanca,Quilmes
1256,2015-08-22,Racing Club,Arsenal Sarandi
1257,2015-08-22,Colon Santa FE,Velez Sarsfield
1258,2015-08-22,San Martin S.J.,Independiente
1259,2015-08-23,Argentinos Jrs,San Lorenzo
1260,2015-08-23,Crucero del Norte,Nueva Chicago
1261,2015-08-23,Huracan,Lanus
1262,2015-08-23,Rosario Central,Belgrano
1263,2015-08-23,Tigre,Union de Santa Fe
1264,2015-08-23,Boca Juniors,Godoy Cruz
1265,2015-08-24,Estudiantes L.P.,River Plate
1266,2015-08-25,Defensa y Justicia,Aldosivi
1267,2015-08-25,Temperley,Sarmiento Junin
1268,2015-08-29,Argentinos Jrs,Crucero del Norte
1269,2015-08-29,Quilmes,Temperley
1270,2015-08-29,Aldosivi,San Martin S.J.
1271,2015-08-29,Gimnasia L.P.,Boca Juniors
1272,2015-08-30,Newells Old Boys,Colon Santa FE
1273,2015-08-30,Velez Sarsfield,Defensa y Justicia
1274,2015-08-30,Arsenal Sarandi,Tigre
1275,2015-08-30,San Lorenzo,Banfield
1276,2015-08-30,Sarmiento Junin,Atl. Rafaela
1277,2015-08-30,River Plate,Huracan
1278,2015-08-30,Union de Santa Fe,Rosario Central
1279,2015-08-31,Independiente,Estudiantes L.P.
1280,2015-01-09,Belgrano,Olimpo Bahia Blanca
1281,2015-01-09,Lanus,Nueva Chicago
1282,2015-04-09,Banfield,Argentinos Jrs
1283,2015-04-09,Tigre,Godoy Cruz
1284,2015-05-09,Crucero del Norte,Lanus
1285,2015-05-09,Rosario Central,Arsenal Sarandi
1286,2015-05-09,Colon Santa FE,Sarmiento Junin
1287,2015-05-09,Huracan,Independiente
1288,2015-05-09,Defensa y Justicia,Newells Old Boys
1289,2015-06-09,Temperley,Belgrano
1290,2015-06-09,Nueva Chicago,River Plate
1291,2015-06-09,San Martin S.J.,Velez Sarsfield
1292,2015-06-09,Boca Juniors,San Lorenzo
1293,2015-06-09,Olimpo Bahia Blanca,Union de Santa Fe
1294,2015-07-09,Racing Club,Gimnasia L.P.
1295,2015-08-09,Atl. Rafaela,Quilmes
1296,2015-08-09,Estudiantes L.P.,Aldosivi
1297,2015-12-09,Defensa y Justicia,Arsenal Sarandi
1298,2015-12-09,Nueva Chicago,Argentinos Jrs
1299,2015-12-09,Independiente,Racing Club
1300,2015-12-09,San Martin S.J.,Godoy Cruz
1301,2015-12-09,Huracan,San Lorenzo
1302,2015-12-09,Olimpo Bahia Blanca,Sarmiento Junin
1303,2015-09-13,Atl. Rafaela,Belgrano
1304,2015-09-13,Tigre,Velez Sarsfield
1305,2015-09-13,Rosario Central,Newells Old Boys
1306,2015-09-13,Estudiantes L.P.,Gimnasia L.P.
1307,2015-09-13,Colon Santa FE,Union de Santa Fe
1308,2015-09-13,River Plate,Boca Juniors
1309,2015-09-14,Lanus,Banfield
1310,2015-09-14,Aldosivi,Crucero del Norte
1311,2015-09-15,Temperley,Quilmes
1312,2015-09-19,Sarmiento Junin,Defensa y Justicia
1313,2015-09-19,Aldosivi,Huracan
1314,2015-09-19,Argentinos Jrs,Boca Juniors
1315,2015-09-19,Godoy Cruz,Rosario Central
1316,2015-09-19,Independiente,Nueva Chicago
1317,2015-09-19,Gimnasia L.P.,Tigre
1318,2015-09-19,Newells Old Boys,San Martin S.J.
1319,2015-09-20,Velez Sarsfield,Estudiantes L.P.
1320,2015-09-20,Arsenal Sarandi,Olimpo Bahia Blanca
1321,2015-09-20,Banfield,Crucero del Norte
1322,2015-09-20,Union de Santa Fe,Temperley
1323,2015-09-20,River Plate,Lanus
1324,2015-09-21,San Lorenzo,Racing Club
1325,2015-09-22,Belgrano,Atl. Rafaela
1326,2015-09-22,Quilmes,Colon Santa FE
1327,2015-09-26,Olimpo Bahia Blanca,Godoy Cruz
1328,2015-09-26,Atl. Rafaela,Union de Santa Fe
1329,2015-09-26,Nueva Chicago,Aldosivi
1330,2015-09-26,Tigre,San Lorenzo
1331,2015-09-26,Colon Santa FE,Belgrano
1332,2015-09-27,Crucero del Norte,River Plate
1333,2015-09-27,Racing Club,Argentinos Jrs
1334,2015-09-27,Huracan,Velez Sarsfield
1335,2015-09-27,Rosario Central,Gimnasia L.P.
1336,2015-09-27,Defensa y Justicia,Quilmes
1337,2015-09-27,Boca Juniors,Banfield
1338,2015-09-27,San Martin S.J.,Sarmiento Junin
1339,2015-09-28,Lanus,Independiente
1340,2015-09-28,Temperley,Arsenal Sarandi
1341,2015-09-29,Estudiantes L.P.,Newells Old Boys
1342,2015-09-30,Godoy Cruz,Racing Club
1343,2015-03-10,Belgrano,Defensa y Justicia
1344,2015-03-10,Quilmes,San Martin S.J.
1345,2015-03-10,Arsenal Sarandi,Atl. Rafaela
1346,2015-03-10,Sarmiento Junin,Estudiantes L.P.
1347,2015-03-10,Argentinos Jrs,Tigre
1348,2015-03-10,San Lorenzo,Rosario Central
1349,2015-04-10,Gimnasia L.P.,Olimpo Bahia Blanca
1350,2015-04-10,Velez Sarsfield,Nueva Chicago
1351,2015-04-10,Union de Santa Fe,Colon Santa FE
1352,2015-04-10,Godoy Cruz,Temperley
1353,2015-04-10,Boca Juniors,Crucero del Norte
1354,2015-04-10,Newells Old Boys,Huracan
1355,2015-05-10,Independiente,River Plate
1356,2015-06-10,Aldosivi,Lanus
1357,2015-06-10,Banfield,Racing Club
1358,2015-10-15,Defensa y Justicia,River Plate
1359,2015-10-17,Huracan,Sarmiento Junin
1360,2015-10-17,Crucero del Norte,Independiente
1361,2015-10-17,Nueva Chicago,Newells Old Boys
1362,2015-10-17,Atl. Rafaela,Godoy Cruz
1363,2015-10-17,Colon Santa FE,Arsenal Sarandi
1364,2015-10-17,San Martin S.J.,Belgrano
1365,2015-10-18,Estudiantes L.P.,Quilmes
1366,2015-10-18,Lanus,Velez Sarsfield
1367,2015-10-18,Olimpo Bahia Blanca,San Lorenzo
1368,2015-10-18,Rosario Central,Argentinos Jrs
1369,2015-10-18,Tigre,Banfield
1370,2015-10-18,River Plate,Aldosivi
1371,2015-10-19,Racing Club,Boca Juniors
1372,2015-10-20,Defensa y Justicia,Union de Santa Fe
1373,2015-10-20,Temperley,Gimnasia L.P.
1374,2015-10-31,Godoy Cruz,Colon Santa FE
1375,2015-10-31,Sarmiento Junin,Nueva Chicago
1376,2015-10-31,Belgrano,Estudiantes L.P.
1377,2015-10-31,Gimnasia L.P.,Atl. Rafaela
1378,2015-10-31,Velez Sarsfield,River Plate
1379,2015-10-31,Union de Santa Fe,San Martin S.J.
1380,2015-10-31,Racing Club,Crucero del Norte
1381,2015-01-11,Newells Old Boys,Lanus
1382,2015-01-11,Quilmes,Huracan
1383,2015-01-11,Banfield,Rosario Central
1384,2015-01-11,Boca Juniors,Tigre
1385,2015-01-11,San Lorenzo,Temperley
1386,2015-02-11,Aldosivi,Independiente
1387,2015-02-11,Arsenal Sarandi,Defensa y Justicia
1388,2015-03-11,Argentinos Jrs,Olimpo Bahia Blanca
1389,2015-07-11,Lanus,Sarmiento Junin
1390,2015-07-11,Defensa y Justicia,Godoy Cruz
1391,2015-07-11,Colon Santa FE,Gimnasia L.P.
1392,2015-07-11,San Martin S.J.,Arsenal Sarandi
1393,2015-07-11,Estudiantes L.P.,Union de Santa Fe
1394,2015-07-11,Olimpo Bahia Blanca,Banfield
1395,2015-08-11,River Plate,Newells Old Boys
1396,2015-08-11,Atl. Rafaela,San Lorenzo
1397,2015-08-11,Rosario Central,Boca Juniors
1398,2015-08-11,Tigre,Racing Club
1399,2015-09-11,Independiente,Velez Sarsfield
1400,2015-09-11,Huracan,Belgrano
1401,2015-09-11,Nueva Chicago,Quilmes
1402,2015-09-11,Temperley,Argentinos Jrs
1403,2015-09-11,Crucero del Norte,Aldosivi
1404,2015-11-19,Tigre,Colon Santa FE
1405,2015-11-20,Independiente,Belgrano
1406,2015-11-20,Gimnasia L.P.,San Martin S.J.
1407,2015-11-21,Racing Club,Estudiantes L.P.
1408,2015-11-21,Union de Santa Fe,Aldosivi
1409,2015-11-23,Quilmes,Olimpo Bahia Blanca
1410,2015-11-24,Lanus,Newells Old Boys
1411,2015-11-25,Banfield,Argentinos Jrs
1412,2015-11-28,Colon Santa FE,Belgrano
1413,2015-11-28,Olimpo Bahia Blanca,Estudiantes L.P.
1414,2015-11-28,Lanus,Gimnasia L.P.
1415,2015-11-29,Independiente,Racing Club
1416,2015-11-30,Aldosivi,Banfield
1417,2015-05-12,Banfield,Aldosivi
1418,2015-05-12,Belgrano,Colon Santa FE
1419,2015-06-12,Estudiantes L.P.,Olimpo Bahia Blanca
1420,2015-06-12,Racing Club,Independiente
1421,2015-07-12,Gimnasia L.P.,Lanus
1422,2016-05-02,Banfield,Gimnasia L.P.
1423,2016-05-02,Huracan,Atl. Rafaela
1424,2016-06-02,Rosario Central,Godoy Cruz
1425,2016-06-02,Aldosivi,Olimpo Bahia Blanca
1426,2016-06-02,Argentinos Jrs,Tigre
1427,2016-06-02,Patronato,San Lorenzo
1428,2016-06-02,San Martin S.J.,Newells Old Boys
1429,2016-07-02,Temperley,Boca Juniors
1430,2016-07-02,Defensa y Justicia,Union de Santa Fe
1431,2016-07-02,Independiente,Belgrano
1432,2016-07-02,Colon Santa FE,Arsenal Sarandi
1433,2016-08-02,Atl. Tucuman,Racing Club
1434,2016-08-02,Estudiantes L.P.,Lanus
1435,2016-08-02,River Plate,Quilmes
1436,2016-09-02,Sarmiento Junin,Velez Sarsfield
1437,2016-12-02,Arsenal Sarandi,Banfield
1438,2016-12-02,Union de Santa Fe,Temperley
1439,2016-02-13,Godoy Cruz,Independiente
1440,2016-02-13,Quilmes,Colon Santa FE
1441,2016-02-13,Aldosivi,Argentinos Jrs
1442,2016-02-13,Atl. Rafaela,Estudiantes L.P.
1443,2016-02-13,San Lorenzo,Sarmiento Junin
1444,2016-02-14,Racing Club,San Martin S.J.
1445,2016-02-14,Velez Sarsfield,Olimpo Bahia Blanca
1446,2016-02-14,Lanus,Defensa y Justicia
1447,2016-02-14,Rosario Central,Newells Old Boys
1448,2016-02-14,Gimnasia L.P.,Patronato
1449,2016-02-14,Boca Juniors,Atl. Tucuman
1450,2016-02-15,Belgrano,River Plate
1451,2016-02-16,Banfield,Quilmes
1452,2016-02-16,Olimpo Bahia Blanca,San Lorenzo
1453,2016-02-17,Argentinos Jrs,Velez Sarsfield
1454,2016-02-17,Defensa y Justicia,Atl. Rafaela
1455,2016-02-17,Newells Old Boys,Racing Club
1456,2016-02-17,Independiente,Rosario Central
1457,2016-02-17,Patronato,Arsenal Sarandi
1458,2016-02-18,San Martin S.J.,Boca Juniors
1459,2016-02-18,Sarmiento Junin,Gimnasia L.P.
1460,2016-02-18,Estudiantes L.P.,Tigre
1461,2016-02-18,Colon Santa FE,Belgrano
1462,2016-02-18,Temperley,Lanus
1463,2016-02-19,Atl. Tucuman,Union de Santa Fe
1464,2016-02-19,River Plate,Godoy Cruz
1465,2016-02-20,San Lorenzo,Velez Sarsfield
1466,2016-02-20,Gimnasia L.P.,Olimpo Bahia Blanca
1467,2016-02-21,Boca Juniors,Newells Old Boys
1468,2016-02-21,Belgrano,Banfield
1469,2016-02-21,Tigre,Defensa y Justicia
1470,2016-02-21,Godoy Cruz,Colon Santa FE
1471,2016-02-21,Independiente,Racing Club
1472,2016-02-22,Rosario Central,River Plate
1473,2016-02-22,Quilmes,Patronato
1474,2016-02-23,Arsenal Sarandi,Sarmiento Junin
1475,2016-02-23,Union de Santa Fe,San Martin S.J.
1476,2016-02-23,Atl. Rafaela,Temperley
1477,2016-02-24,Aldosivi,Estudiantes L.P.
1478,2016-02-24,Lanus,Atl. Tucuman
1479,2016-02-26,Newells Old Boys,Union de Santa Fe
1480,2016-02-27,Banfield,Godoy Cruz
1481,2016-02-27,Estudiantes L.P.,Argentinos Jrs
1482,2016-02-27,Sarmiento Junin,Quilmes
1483,2016-02-27,Defensa y Justicia,Aldosivi
1484,2016-02-27,Huracan,San Lorenzo
1485,2016-02-28,Patronato,Belgrano
1486,2016-02-28,Colon Santa FE,Rosario Central
1487,2016-02-28,Atl. Tucuman,Atl. Rafaela
1488,2016-02-28,Olimpo Bahia Blanca,Arsenal Sarandi
1489,2016-02-28,Racing Club,Boca Juniors
1490,2016-02-29,San Martin S.J.,Lanus
1491,2016-02-29,Velez Sarsfield,Gimnasia L.P.
1492,2016-01-03,River Plate,Independiente
1493,2016-01-03,Temperley,Tigre
1494,2016-04-03,Quilmes,Olimpo Bahia Blanca
1495,2016-04-03,Argentinos Jrs,Defensa y Justicia
1496,2016-05-03,Arsenal Sarandi,Velez Sarsfield
1497,2016-05-03,Lanus,Newells Old Boys
1498,2016-05-03,Atl. Rafaela,San Martin S.J.
1499,2016-05-03,Huracan,Estudiantes L.P.
1500,2016-05-03,Belgrano,Sarmiento Junin
1501,2016-05-03,Gimnasia L.P.,San Lorenzo
1502,2016-06-03,Independiente,Colon Santa FE
1503,2016-06-03,River Plate,Boca Juniors
1504,2016-06-03,Rosario Central,Banfield
1505,2016-06-03,Aldosivi,Temperley
1506,2016-07-03,Union de Santa Fe,Racing Club
1507,2016-07-03,Tigre,Atl. Tucuman
1508,2016-08-03,Godoy Cruz,Patronato
1509,2016-11-03,Racing Club,Lanus
1510,2016-12-03,Newells Old Boys,Atl. Rafaela
1511,2016-12-03,Defensa y Justicia,Huracan
1512,2016-12-03,Olimpo Bahia Blanca,Belgrano
1513,2016-12-03,Banfield,Independiente
1514,2016-12-03,San Martin S.J.,Tigre
1515,2016-12-03,San Lorenzo,Arsenal Sarandi
1516,2016-03-13,Temperley,Argentinos Jrs
1517,2016-03-13,Estudiantes L.P.,Gimnasia L.P.
1518,2016-03-13,Patronato,Rosario Central
1519,2016-03-13,Atl. Tucuman,Aldosivi
1520,2016-03-13,Colon Santa FE,River Plate
1521,2016-03-14,Sarmiento Junin,Godoy Cruz
1522,2016-03-15,Boca Juniors,Union de Santa Fe
1523,2016-03-17,Tigre,Huracan
1524,2016-03-18,Aldosivi,San Martin S.J.
1525,2016-03-18,Arsenal Sarandi,Gimnasia L.P.
1526,2016-03-19,Estudiantes L.P.,Defensa y Justicia
1527,2016-03-19,Belgrano,Velez Sarsfield
1528,2016-03-19,Colon Santa FE,Union de Santa Fe
1529,2016-03-19,Argentinos Jrs,Atl. Tucuman
1530,2016-03-19,Godoy Cruz,Olimpo Bahia Blanca
1531,2016-03-19,Independiente,Patronato
1532,2016-03-20,Quilmes,San Lorenzo
1533,2016-03-20,River Plate,Banfield
1534,2016-03-20,Huracan,Temperley
1535,2016-03-20,Lanus,Boca Juniors
1536,2016-03-21,Rosario Central,Sarmiento Junin
1537,2016-03-22,Atl. Rafaela,Racing Club
1538,2016-03-22,Tigre,Newells Old Boys
1539,2016-03-24,Huracan,Aldosivi
1540,2016-03-28,Velez Sarsfield,Quilmes
1541,2016-03-29,Argentinos Jrs,Huracan
1542,2016-01-04,Atl. Tucuman,Huracan
1543,2016-02-04,Olimpo Bahia Blanca,Rosario Central
1544,2016-02-04,Temperley,Estudiantes L.P.
1545,2016-02-04,Racing Club,Tigre
1546,2016-02-04,Boca Juniors,Atl. Rafaela
1547,2016-03-04,Banfield,Colon Santa FE
1548,2016-03-04,Patronato,River Plate
1549,2016-03-04,Newells Old Boys,Aldosivi
1550,2016-03-04,San Lorenzo,Belgrano
1551,2016-03-04,San Martin S.J.,Argentinos Jrs
1552,2016-03-04,Defensa y Justicia,Arsenal Sarandi
1553,2016-03-04,Velez Sarsfield,Godoy Cruz
1554,2016-04-04,Sarmiento Junin,Independiente
1555,2016-05-04,Gimnasia L.P.,Quilmes
1556,2016-05-04,Union de Santa Fe,Lanus
1557,2016-09-04,Colon Santa FE,Patronato
1558,2016-09-04,Godoy Cruz,San Lorenzo
1559,2016-09-04,Huracan,San Martin S.J.
1560,2016-09-04,Defensa y Justicia,Temperley
1561,2016-09-04,River Plate,Sarmiento Junin
1562,2016-10-04,Independiente,Olimpo Bahia Blanca
1563,2016-10-04,Banfield,Lanus
1564,2016-10-04,Argentinos Jrs,Newells Old Boys
1565,2016-10-04,Aldosivi,Racing Club
1566,2016-10-04,Rosario Central,Velez Sarsfield
1567,2016-11-04,Belgrano,Gimnasia L.P.
1568,2016-11-04,Tigre,Boca Juniors
1569,2016-11-04,Atl. Rafaela,Union de Santa Fe
1570,2016-11-04,Quilmes,Arsenal Sarandi
1571,2016-12-04,Estudiantes L.P.,Atl. Tucuman
1572,2016-04-15,Sarmiento Junin,Colon Santa FE
1573,2016-04-16,Gimnasia L.P.,Godoy Cruz
1574,2016-04-16,Lanus,Atl. Rafaela
1575,2016-04-16,Atl. Tucuman,Defensa y Justicia
1576,2016-04-16,Newells Old Boys,Huracan
1577,2016-04-16,Boca Juniors,Aldosivi
1578,2016-04-16,Union de Santa Fe,Tigre
1579,2016-04-17,Racing Club,Argentinos Jrs
1580,2016-04-17,San Lorenzo,Rosario Central
1581,2016-04-17,San Martin S.J.,Estudiantes L.P.
1582,2016-04-17,Temperley,Quilmes
1583,2016-04-17,Velez Sarsfield,Independiente
1584,2016-04-18,Olimpo Bahia Blanca,River Plate
1585,2016-04-18,Patronato,Banfield
1586,2016-04-18,Arsenal Sarandi,Belgrano
1587,2016-04-22,Atl. Rafaela,Patronato
1588,2016-04-23,Olimpo Bahia Blanca,Aldosivi
1589,2016-04-23,Velez Sarsfield,Argentinos Jrs
1590,2016-04-23,Union de Santa Fe,Colon Santa FE
1591,2016-04-23,Arsenal Sarandi,Defensa y Justicia
1592,2016-04-23,San Lorenzo,Huracan
1593,2016-04-23,Godoy Cruz,San Martin S.J.
1594,2016-04-23,Lanus,Banfield
1595,2016-04-24,Gimnasia L.P.,Estudiantes L.P.
1596,2016-04-24,Newells Old Boys,Rosario Central
1597,2016-04-24,Boca Juniors,River Plate
1598,2016-04-24,Racing Club,Independiente
1599,2016-04-25,Belgrano,Atl. Tucuman
1600,2016-04-25,Tigre,Sarmiento Junin
1601,2016-04-26,Quilmes,Temperley
1602,2016-04-29,Aldosivi,Union de Santa Fe
1603,2016-04-29,Estudiantes L.P.,Newells Old Boys
1604,2016-04-30,Colon Santa FE,Olimpo Bahia Blanca
1605,2016-04-30,Patronato,Atl. Rafaela
1606,2016-04-30,Independiente,San Lorenzo
1607,2016-04-30,Belgrano,Quilmes
1608,2016-04-30,River Plate,Velez Sarsfield
1609,2016-04-30,Godoy Cruz,Arsenal Sarandi
1610,2016-04-30,Huracan,Racing Club
1611,2016-04-30,Defensa y Justicia,San Martin S.J.
1612,2016-01-05,Argentinos Jrs,Boca Juniors
1613,2016-02-05,Rosario Central,Gimnasia L.P.
1614,2016-02-05,Tigre,Lanus
1615,2016-03-05,Temperley,Atl. Tucuman
1616,2016-04-05,Banfield,Sarmiento Junin
1617,2016-06-05,Union de Santa Fe,Argentinos Jrs
1618,2016-07-05,Quilmes,Godoy Cruz
1619,2016-07-05,Newells Old Boys,Defensa y Justicia
1620,2016-07-05,San Martin S.J.,Temperley
1621,2016-07-05,Velez Sarsfield,Colon Santa FE
1622,2016-07-05,San Lorenzo,River Plate
1623,2016-08-05,Racing Club,Estudiantes L.P.
1624,2016-08-05,Arsenal Sarandi,Rosario Central
1625,2016-08-05,Lanus,Aldosivi
1626,2016-08-05,Atl. Tucuman,Belgrano
1627,2016-08-05,Boca Juniors,Huracan
1628,2016-09-05,Atl. Rafaela,Tigre
1629,2016-09-05,Gimnasia L.P.,Independiente
1630,2016-09-05,Olimpo Bahia Blanca,Banfield
1631,2016-10-05,Sarmiento Junin,Patronato
1632,2016-05-13,Huracan,Union de Santa Fe
1633,2016-05-14,Atl. Tucuman,San Martin S.J.
1634,2016-05-14,Defensa y Justicia,Racing Club
1635,2016-05-14,Colon Santa FE,San Lorenzo
1636,2016-05-14,Godoy Cruz,Belgrano
1637,2016-05-14,River Plate,Gimnasia L.P.
1638,2016-05-15,Independiente,Arsenal Sarandi
1639,2016-05-15,Argentinos Jrs,Lanus
1640,2016-05-15,Sarmiento Junin,Tigre
